aid1,aid2,PublicationId,Year
352,553,2000350026,2013
14,20,2612421865,2013
97,204,2017595810,2013
14,159,2612421865,2013
18,522,2017595810,2013
62,477,2143803812,2013
375,522,2017595810,2013
381,522,2017595810,2013
449,720,1977931799,2013
449,570,1977931799,2013
118,551,1966913144,2013
37,100,2021013828,2013
93,837,2463919866,2013
93,836,2463919866,2013
93,833,2463919866,2013
204,522,2017595810,2013
204,381,2017595810,2013
833,836,2463919866,2013
323,943,2025951333,2013
375,381,2017595810,2013
97,522,2017595810,2013
18,381,2017595810,2013
14,452,2614624087,2013
14,732,2614624087,2013
13,477,2143803812,2013
37,318,2021013828,2013
833,837,2463919866,2013
100,318,2021013828,2013
97,375,2017595810,2013
100,712,2021013828,2013
318,712,2021013828,2013
323,458,2025951333,2013
37,712,2021013828,2013
97,381,2017595810,2013
570,720,1977931799,2013
204,375,2017595810,2013
14,159,2614624087,2013
18,375,2017595810,2013
836,837,2463919866,2013
458,943,2025951333,2013
13,62,2143803812,2013
646,654,2561697052,2013
184,458,2088128810,2013
740,831,2474496352,2013
740,832,2474496352,2013
831,832,2474496352,2013
240,417,2058033610,2013
240,954,2058033610,2013
417,954,2058033610,2013
423,452,2612421865,2013
159,452,2612421865,2013
159,423,2612421865,2013
237,605,64572808,2013
20,159,2612421865,2013
14,452,2612421865,2013
646,1040,2561697052,2013
14,423,2612421865,2013
649,1040,2561697052,2013
649,654,2561697052,2013
20,452,2612421865,2013
227,490,2610612395,2013
649,650,2561697052,2013
645,1040,2561697052,2013
646,650,2561697052,2013
645,650,2561697052,2013
645,649,2561697052,2013
645,646,2561697052,2013
647,661,2083562840,2013
645,654,2561697052,2013
76,647,2083562840,2013
217,310,2081386529,2013
76,661,2083562840,2013
217,499,2081386529,2013
217,504,2081386529,2013
646,649,2561697052,2013
310,504,2081386529,2013
499,504,2081386529,2013
310,499,2081386529,2013
376,480,46228059,2014
88,435,2471555426,2014
88,834,2471555426,2014
435,834,2471555426,2014
376,449,46228059,2014
419,589,44792022,2014
393,589,44792022,2014
761,811,2623259878,2014
761,765,2623259878,2014
298,784,1526108019,2014
298,400,1526108019,2014
466,761,2623259878,2014
765,811,2623259878,2014
393,419,44792022,2014
811,826,2623259878,2014
376,542,46228059,2014
376,554,46228059,2014
376,747,46228059,2014
449,480,46228059,2014
254,603,2520474058,2014
765,826,2623259878,2014
761,826,2623259878,2014
195,424,2491425224,2014
885,1023,2619491575,2014
195,587,2491425224,2014
149,590,2498830422,2014
9,509,1548052181,2014
503,794,2420937693,2014
52,963,2187966039,2014
376,541,46228059,2014
39,180,2460810395,2014
171,607,2485242307,2014
180,390,2460810395,2014
149,488,2498830422,2014
134,1023,2619491575,2014
172,218,2481443256,2014
116,617,2491425224,2014
116,587,2491425224,2014
116,549,2491425224,2014
116,424,2491425224,2014
116,212,2491425224,2014
116,195,2491425224,2014
49,456,2123732030,2014
316,521,2126102346,2014
329,379,2314750943,2014
250,616,2314750943,2014
250,379,2314750943,2014
592,848,2486803970,2014
99,607,2485242307,2014
99,171,2485242307,2014
250,329,2314750943,2014
195,212,2491425224,2014
247,296,1494089855,2014
449,747,46228059,2014
466,826,2623259878,2014
381,522,2164433454,2014
375,522,2164433454,2014
449,541,46228059,2014
449,542,46228059,2014
449,554,46228059,2014
466,811,2623259878,2014
466,765,2623259878,2014
39,390,2460810395,2014
149,211,2498830422,2014
587,617,2491425224,2014
465,618,2073266098,2014
449,454,2104491204,2014
549,617,2491425224,2014
549,587,2491425224,2014
424,617,2491425224,2014
424,587,2491425224,2014
424,549,2491425224,2014
212,617,2491425224,2014
212,587,2491425224,2014
212,549,2491425224,2014
195,617,2491425224,2014
379,616,2314750943,2014
375,381,2164433454,2014
134,885,2619491575,2014
608,1037,2493267635,2014
107,108,2491640100,2014
557,768,11620612,2014
129,342,2083978779,2014
129,404,2083978779,2014
9,198,1548052181,2014
449,454,2087818213,2014
598,608,2493267635,2014
598,1037,2493267635,2014
400,784,1526108019,2014
233,963,2187966039,2014
404,406,2083978779,2014
342,406,2083978779,2014
342,404,2083978779,2014
129,406,2083978779,2014
144,296,1494089855,2014
23,454,2104491204,2014
23,449,2104491204,2014
329,616,2314750943,2014
126,406,2083978779,2014
465,857,2073266098,2014
468,580,2073266098,2014
468,618,2073266098,2014
468,857,2073266098,2014
580,618,2073266098,2014
580,857,2073266098,2014
618,857,2073266098,2014
134,528,2073553954,2014
366,396,2616032956,2014
126,129,2083978779,2014
366,465,2616032956,2014
211,488,2498830422,2014
198,509,1548052181,2014
465,580,2616032956,2014
465,580,2073266098,2014
396,580,2616032956,2014
464,465,2073266098,2014
464,468,2073266098,2014
464,580,2073266098,2014
464,618,2073266098,2014
464,857,2073266098,2014
465,468,2073266098,2014
396,465,2616032956,2014
366,580,2616032956,2014
871,878,2792011574,2014
488,590,2498830422,2014
211,590,2498830422,2014
52,233,2187966039,2014
126,342,2083978779,2014
126,404,2083978779,2014
96,596,2506671469,2014
557,788,11620612,2014
212,424,2491425224,2014
142,296,1494089855,2014
93,261,289024250,2014
237,737,2603037059,2014
541,542,46228059,2014
541,554,46228059,2014
541,747,46228059,2014
396,618,2073266098,2014
396,580,2073266098,2014
396,468,2073266098,2014
309,580,2073266098,2014
396,464,2073266098,2014
366,857,2073266098,2014
366,618,2073266098,2014
366,580,2073266098,2014
93,402,289024250,2014
309,468,2073266098,2014
144,296,2070629046,2014
309,464,2073266098,2014
35,449,2060194233,2014
160,787,203750981,2014
160,423,203750981,2014
160,234,203750981,2014
160,203,203750981,2014
160,175,203750981,2014
14,787,203750981,2014
178,690,2034122708,2014
542,554,46228059,2014
542,747,46228059,2014
554,747,46228059,2014
169,718,1943145621,2014
261,402,289024250,2014
237,903,2603037059,2014
237,512,2603037059,2014
203,787,203750981,2014
